label,tweet
anger,"Bangshaaat emg lo! Udah ngerebut, nyalahin pula! aslii anjirrr"
anger,Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. emosi jiwa. banget
happy,[USERNAME] Lah.. hahahaha.. namany villa salse tp dia hotel trs ada warungnya gt menurut aku bagus sih kak nyaman gt trs nanti naik ke atas ada bird park..
anger,eh Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! dong
happy,BARU AJA NONTON KONSER IDOLAA! WAHH SENENGNYA AMPE JINGKRAK JINGKRAK 🤩 BGT
fear,"yaallah Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. deh"
fear,"SETIAP MALAM GW MIMPI BURUK, TAKUT BGT KEJADIAN NYATA... LOHH"
love,"Cinta itu sabar, setia, dan tulus. Gw belajar itu dari lo 🥺 dong"
fear,"anjir Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. sumpah"
love,"anjir Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 banget"
love,"ciee Setiap detik mikirin kamu, pengen terus ada di sampingmu. kek gitu please..."
anger,"[USERNAME] Ya Allah...apa2 kok yg disalahin pres [USERNAME] ... Kayak presiden kurang kerjaan ya gaes, urusin sebuah foto...hadweehhh. Tp apa penting to foto itu? Bukan 'jimat' to?"
love,YAH NUNGGUIN CHAT DARI KAMU AJA UDAH BIKIN DEG-DEGAN HEHE 😚
love,"Jika itu sebuah cinta, ia akan menerima semua kelebihan, bahkan kekurangan pun akan dianggap sebuah keindahan bukan sebuah alasan untuk meninggalkannya"
anger,wkwk Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. lohh
fear,"Liat berita kriminal tiap hari, bikin parnoan kemana2."
sadness,"yah Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. plisss"
fear,Ketika sudah pukul 23.50 kami sudah capek dan ingin pulang karena sudah mulai ada rasa takut di hati kami masing-masing.
anger,Wkwk gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤 yaaa sumpah
fear,"kuat tidaknya iman seseorang itu (bisa) dilihat saat doi mulai jatuh cinta. cinta tuh ngeri, sampai sampai bisa bikin seseorang mengorbankan imannya demi cintaaa~"
anger,"BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA! YAAA PLISSS"
love,"Seajaib-ajaibnya tulisan adalah mampu melipat jarak, memutar waktu, mendekatkan yang jauh, menghidupkan yang sudah mati. Membuat dua insan yang belum pernah bertatap muka bisa sedemikian dalam jatuh cinta. Kekuatan rp emang luar biasa."
anger,"Fahri aktivis 0 nol isinya, mana reformasi mu nggak merubah apapun kecuali koar koar bebas di negeriku, mustinya Golkar loe bubarin, Harto diturunkan Golkar melenggang jaya, kata amien Raisa bodoh"
love,"yah Setiap detik mikirin kamu, pengen terus ada di sampingmu. kek gitu"
happy,"yaallah Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 sih"
anger,"WKWK BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA! SIH ANJIRRR"
love,"yaallah Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. lohh"
sadness,Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 sih
fear,"YAALLAH RASANYA KAYAK DIAWASI TERUS, SEREM BGT PADAHAL SENDIRI DI RUMAH 😱"
love,"Sesibuk apapun, jika kamu memang penting untuknya ia akan memberimu kabar, walau tengah malam pun iya akan menyampaikan kalimat yg sedikit membuatmu lega"
sadness,wkwk Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 yaaa dong
happy,CIEE BARU AJA NONTON KONSER IDOLAA! WAHH SENENGNYA AMPE JINGKRAK JINGKRAK 🤩 BANGET SUMPAH
love,"EH CINTA ITU SABAR, SETIA, DAN TULUS. GW BELAJAR ITU DARI LO 🥺 SUMPAH"
sadness,"ciee Gw pikir dia serius, ternyata cuma mainin perasaan. Hancur."
anger,anjir Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 bgttt
anger,JANGAN MAIN2 SAMA HATI ORANG! LO KIRA INI LUCU? ASLII DONG
fear,"yah Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 yaaa"
fear,"Agak aneh banget Semalem rokok burhan ketinggalan di dasbor motor trus ga aku apa apain aku taruh lagi, trus kan sahur keluar ma iffa ke motekar eh balik2 gada rokoknya. Aneh banget, padahal las parkir dimotekar juga gada yg deketin motor"
happy,Dapet kejutan dari diaa! sweet bangeeet huhuhu 😍 please...
happy,WKWK AKHIRNYAA LULUS JUGA! PERJUANGAN PANJANG BGT TAPI WORTH IT! 🎓 BANGET ANJIRRR
anger,wkwk Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 lohh
happy,anjir Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 yaaa please...
happy,"wkwk Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 lohh"
love,"eh Cinta itu sabar, setia, dan tulus. Gw belajar itu dari lo 🥺 please..."
anger,"eh Bangshaaat emg lo! Udah ngerebut, nyalahin pula! bgt"
anger,eh Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 please...
happy,yaallah Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 parah
anger,Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! kek gitu yaampun
love,"SETIAP DETIK MIKIRIN KAMU, PENGEN TERUS ADA DI SAMPINGMU."
happy,"yah Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 yaampun"
love,"yah Setiap detik mikirin kamu, pengen terus ada di sampingmu. lohh"
anger,anjir Jangan main2 sama hati orang! Lo kira ini lucu?
happy,AKHIRNYAA LULUS JUGA! PERJUANGAN PANJANG BGT TAPI WORTH IT! 🎓 PLISSS
happy,tahu acara yg paling asik? Acara asikahan anak kita nanti [USERNAME] [USERNAME] #IniSahurTIKETCOMHariKe20
sadness,"yaallah Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. yaaa dong"
anger,"btw Bangshaaat emg lo! Udah ngerebut, nyalahin pula! sumpah"
happy,ciee Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 banget deh
happy,yah Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 aslii
anger,anjir Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. yaaa
anger,"Anjir bangshaaat emg lo! udah ngerebut, nyalahin pula!"
fear,"ciee Setiap malam gw mimpi buruk, takut bgt kejadian nyata... 😭"
anger,"ANJIR BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA!"
fear,"Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. aslii bgttt"
happy,Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 parah
sadness,Kangen rumah tapi harus kuat ngejar cita2. sedihh 😢 parah
fear,"wkwk Setiap malam gw mimpi buruk, takut bgt kejadian nyata... lohh"
fear,"Liat berita kriminal tiap hari, bikin parnoan kemana2. deh"
happy,"Alhamdulillah, hari ini Senin tggl 9 Juli 2018 murid SMAIA 7 sudah mengawali hari pertama masuk sekolah di tahun ajaran 2018/2019. Pada kesempatan kali ini, dilaksanakan apel pagi dengan pembina bapak kepala sekolah."
anger,WKWK ORANG KAYAK LO TUH BENER2 GAK ADA OTAKNYA! BIKIN NAIK DARAH! PLEASE...
anger,yaallah Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. kek gitu dong
anger,"Jadi nomor yang hangus itu tdk bisa dipakai lagi atau disetting kembali di kartu baru min? *Maap nah min, masih kekeh pertanyaannya* [USERNAME]"
anger,Gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤 yaaa
love,"Aku hanyalah ciptaan tuhan, bukan superhero apalagi malaikat. Aku hanya bisa melakukan apa yang aku lakukan dek. Itulah aku, anak nomor tiga yang murah hati, dan aku mohon semoga kamu cepat tau dek "
love,"btw Setiap detik mikirin kamu, pengen terus ada di sampingmu. lohh dong"
sadness,"Kita ngga bisa mengatur otak orang, menjaga hati orang. Disaat ada yg berniat menghasut orang utk membenci kita, dan berhasil. Ya sudah. Terima aja kl yg terhasut ngga layak utk lbh lama jd teman"
love,"ciee Cinta itu sabar, setia, dan tulus. Gw belajar itu dari lo 🥺 deh"
sadness,"wkwk Gw pikir dia serius, ternyata cuma mainin perasaan. Hancur. yaampun"
anger,"Beli mobil baru yang harganya ga sampe 130 juta. Doi ganti head unit pake merek china. Berasa bawa lamborghini, dg sound double bass power. Gue : lo kampungan."
anger,YAALLAH JANGAN MAIN2 SAMA HATI ORANG! LO KIRA INI LUCU?
anger,yah Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 😭
anger,Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 kek gitu dong
happy,ciee Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 kek gitu
sadness,yaallah Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 banget
anger,Jangan main2 sama hati orang! lo kira ini lucu? parah sumpah
anger,"Yah bangshaaat emg lo! udah ngerebut, nyalahin pula! plisss"
sadness,"yah Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. lohh bgttt"
anger,"Jangan main2 dengan SARA. Mereka yang bermain dengan SARA apalagi mendekati tahun politik, hampir dapat di pasti ujungnya konflik. [URL]"
sadness,anjir Gak tau kenapa akhir2 ini ngerasa kosong aja... kek gitu
sadness,Kalo lagi sering banget interaksi sama orang rasanya pengen banget ngurung diri sendirian di kamar terus hanyut dalam khayalan. Tapi kalo udah kelamaan sendirian di kamar kok jadi ngerasa sendirian dan gak punya temen.
anger,GILA LO YA! UDAH DIBILANG JANGAN TRUS DIULANGIN LAGI. KESEL BGT 😤 DEH
love,"eh Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 aslii plisss"
anger,Kenapa tak minta UMKM Jakarta produksi tong sampah dr stainles steel? Katanya mau mengurangi pengangguran. Lebih 9 milyar diberikan ke jerman&gt
sadness,KANGEN RUMAH TAPI HARUS KUAT NGEJAR CITA2. SEDIHH 😢 BANGET
happy,Wkwk dapet kejutan dari diaa! sweet bangeeet huhuhu 😍 dong
fear,"wkwk Liat berita kriminal tiap hari, bikin parnoan kemana2. banget"
sadness,ANJIR KADANG NGERASA SENDIRIAN DI TENGAH KERAMAIAN... SEPI BGT RASANYA 😔 BGT
love,"Setiap detik mikirin kamu, pengen terus ada di sampingmu. kek gitu plisss"
anger,anjir Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! banget
happy,"wkwk Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 anjirrr"
anger,"[USERNAME] Udah jauh mendingan,setidaknya ketua DPR berani ditangkap, dibandingkan dulu, anggota DPR,gubernur,sampai RT berani korupsi tanpa ada yg berani tangkap"
sadness,ciee Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 banget
happy,"Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 lohh yaampun"
love,"Yaallah setiap detik mikirin kamu, pengen terus ada di sampingmu. yaaa"
anger,Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. emosi jiwa.
fear,"Rasa takut akan kematian adalah yang paling dibenarkan dari semua ketakutan, karena tidak ada risiko kecelakaan bagi seseorang yang sudah mati."
happy,btw Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 sumpah
sadness,"yaallah Gw pikir dia serius, ternyata cuma mainin perasaan. Hancur. sih"
fear,Eh takut kehilangan orang2 yang gw sayang. dunia ini gak pasti... aslii
anger,wkwk Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! dong
fear,"yaallah Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 lohh"
love,"GAK PEDULI SEJAUH APAPUN KAMU, RASA INI TETEP SAMA... 💌 SIH"
anger,"Eh bangshaaat emg lo! udah ngerebut, nyalahin pula!"
happy,Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 kek gitu
sadness,KADANG NGERASA SENDIRIAN DI TENGAH KERAMAIAN... SEPI BGT RASANYA 😔 KEK GITU
sadness,"[USERNAME] kalo gue sik emang abis kehilangan seseorang yang deket, ya bisa dibilang cuman tahap bangunin sahur-zone lah, ahhhhhhh sial, tayo tayo!!! bener apa kata u bang emang jadi gila."
anger,Jangan main2 sama hati orang! Lo kira ini lucu? kek gitu
sadness,wkwk Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 aslii
happy,AKHIRNYAA LULUS JUGA! PERJUANGAN PANJANG BGT TAPI WORTH IT! 🎓 LOHH
sadness,eh Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 😭
love,"yaallah Setiap detik mikirin kamu, pengen terus ada di sampingmu. yaaa"
happy,"Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 aslii"
sadness,Btw kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 banget
sadness,Eh kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 😭
sadness,btw Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 parah
anger,Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 parah deh
fear,"Jinhyuk menunduk, menatap sepatunya. Merasa takut untuk membalas permintaan sang puan. ""M-maaf, saya tidak membawa alat lukis saat ini..."" [URL]"
happy,"Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 aslii deh"
happy,yaallah Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 sih
love,Dari awal ngerasa #friendzoned tapi setelah mikir saling sayang engga perlu nembak apalagi udah umur segini Intinya udah pacaran deh ya #temanbukanpacarbukan tau apaan haha
anger,Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! bgt
anger,wkwk Jangan main2 sama hati orang! Lo kira ini lucu? kek gitu
happy,"Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 sih deh"
love,"Terimakasih. Pernah telah membuat warna dalam kertas putih, pernah merangkai bunga dalam vas kosong, pernah bernyanyi merdu diruang sunyi dan pernah menjadi kita dalam dalam satu ikatan."
happy,yah Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 please...
sadness,anjir Gak tau kenapa akhir2 ini ngerasa kosong aja... sumpah
anger,wkwk Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. bgt anjirrr
fear,"[USERNAME] [USERNAME] Cerita satinah satu ini kayaknya emang 'beda' yaa.. Hampir semua reply bilangnya sama, degdegan, sampe ga berani biarpun cuma liat. Sampe sekarang aja aku gaberani liat pic nya .-."
anger,yaallah Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. yaaa anjirrr
happy,wkwk Baru aja nonton konser idolaa! Wahh senengnya ampe jingkrak jingkrak 🤩 parah anjirrr
happy,ciee Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 anjirrr
fear,"ANJIR GUE TAKUT BGT NGADEPIN HARI SENIN, KERJAAN NUMPUK ABIS CUTI."
anger,"Bangshaaat emg lo! Udah ngerebut, nyalahin pula! lohh anjirrr"
sadness,yah Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 yaaa sumpah
sadness,"ciee Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan."
anger,btw Jangan main2 sama hati orang! Lo kira ini lucu? bgttt
anger,"Ternyata banyak fans kpop dadakan ya, mending lisa gakusah kesini aja klo gini caranya, tnpa dipromosikan psti bnyk jg kok yg dtg ke fanmeetingnya lisa, aku ksel kak liatnya [USERNAME]"
fear,"yah Setiap malam gw mimpi buruk, takut bgt kejadian nyata... anjirrr"
happy,Dapet kejutan dari diaa! sweet bangeeet huhuhu 😍 aslii
love,"YAH LO EMG BUKAN YANG PERTAMA, TAPI GW HARAP LO JADI YANG TERAKHIR. BGT YAAMPUN"
anger,yah Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 sumpah
anger,"[USERNAME] Min kalau tidak ada perawatan Transjakarta ini bisa seperti metro mini, saya tiap hari naik Basway ini 60% mobil nya bermasalah"
sadness,BTW KADANG NGERASA SENDIRIAN DI TENGAH KERAMAIAN... SEPI BGT RASANYA 😔 PARAH
happy,Anjir dapet kejutan dari diaa! sweet bangeeet huhuhu 😍 yaaa
happy,"Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 kek gitu bgttt"
anger,"YAH BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA!"
happy,"YAH HARI INI CERAH BGT, JALAN-JALAN BARENG BESTIE TUH EMG THERAPY TERBAIK 💖 KEK GITU"
happy,wkwk Dapet kejutan dari diaa! Sweet bangeeet huhuhu 😍 bgttt
anger,"Bangshaaat emg lo! Udah ngerebut, nyalahin pula! bgttt"
anger,"Bangshaaat emg lo! Udah ngerebut, nyalahin pula! yaaa"
sadness,"yah Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. yaampun"
anger,"Menurut penelitian ku 'orang yg paling susah di nasehatin adalah org yg JATUH CINTA uda dibilangin masih ajaaaa ngomong dia ga gitu, ga gini' harus ekstra sabar."
love,"Happy Mensive My Love makasih udh nemenin selama tiga bulan ini. ga kerasa udh panjang aja perjalanannya, selama ini aku ngerasa belum ngasih apa apa buat kamu maaf aku ga bisa romantis, kerjaan aku cuma jailin kamu. tapi kamu harus percaya tiap detik aku selalu sayang kamu"
sadness,btw Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 deh
anger,yaallah Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. lohh plisss
happy,Yaallah baru aja nonton konser idolaa! wahh senengnya ampe jingkrak jingkrak 🤩 yaaa 😭
love,"yah Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 aslii"
love,"ANJIR CINTA ITU SABAR, SETIA, DAN TULUS. GW BELAJAR ITU DARI LO 🥺 YAAA PLEASE..."
sadness,"Yah air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. deh"
fear,"Dua teman sudah menikah, dari dua temen tersebut mereka pindah agama semua. Satu muslim ke Kristen dan Hindu ke muslim. Semoga saya di beri jodoh yang seiman dan sejalan."
sadness,ciee Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢
anger,"Sekelas emerson masih gitu kelakuannya, apa lagi klo bukan kerna kebencianya, sehingga lupa klo yg diketawain ternyata junjungannya...son...son..gagal maning"
love,wkwk Nungguin chat dari kamu aja udah bikin deg-degan hehe 😚 dong
happy,YAH DAPET KEJUTAN DARI DIAA! SWEET BANGEEET HUHUHU 😍 BANGET
happy,"Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 lohh dong"
happy,"wkwk Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 kek gitu yaampun"
fear,"ciee Setiap malam gw mimpi buruk, takut bgt kejadian nyata... banget"
fear,Takut kehilangan orang2 yang gw sayang. Dunia ini gak pasti... yaaa yaampun
sadness,saya lelah saya bosan saya jenuh
fear,"BTW SETIAP MALAM GW MIMPI BURUK, TAKUT BGT KEJADIAN NYATA..."
happy,aku coba dengerin album2nya ya. trs jatoh cinta dong sama sealbum identify!!! abis itu aku mulai lah nonton jaman2 debut-ssi nya. nAAAH 2 bulan setelah belajar dikit. COMEBACK JUST RIGHT.
anger,Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. yaaa
happy,"seneng deh baca tweet nya mantan PA konglomerat dan si pramugari yg lg viral itu.. jd kepengen ngetweet mengenai pengalaman kerja gue jd Kacung Kampret bertahun2, yg walaupun naik pangkat cuma ubah level doanng.. dr cungpret lv 5 jd lv 4"
sadness,"8 Juli 2018, anak perempuanku dan kakeknya sudah kembali melalui upacara Ngaben di Singaraja. . April 2011 aku kehilangan anak dalam kandungan 4 bulan, dan tak lama Desember suamiku juga"
love,"[USERNAME] Semuanya. Entah knp ya semua bias gua bikin gua kadang lupa kalo gua itu butiran debu. Mereka tuh bener2 bisa bikin gua jd spesial, makanya gua sayang bgt sm mereka..."
happy,"btw Hari ini cerah bgt, jalan-jalan bareng bestie tuh emg therapy terbaik 💖 bgt"
love,"CIEE GAK PEDULI SEJAUH APAPUN KAMU, RASA INI TETEP SAMA... 💌"
anger,"Soal Via Vallen, Gue Sepakat Sama Nikita Mirzani jangan lebay! Kalau Gak Suka Di gituin, tinggal tolak dan block tu orang, jgn di share2 jadi konsumsi publik! Kek ingin menampilkan kepolosan tak berdosa gimana gituu.. #menurutkusih "
happy,BARU AJA NONTON KONSER IDOLAA! WAHH SENENGNYA AMPE JINGKRAK JINGKRAK 🤩 KEK GITU 😭
love,"Waktu kita ngerasa hidup udah enak, jadi agak jauh dr Allah. Allah kasih kita ujian, ngebuat kita ingat Allah lagi, pengen dekeeeet lagi. FIX keliatan Allah sayang kamu. Dia tegur saat hambaNYA mulai jauh. Walau tau dosa hambaNYA udah penuh."
love,"Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 sih dong"
anger,anjir Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah!
sadness,"Anjir air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. parah yaampun"
sadness,"Manggilnya udah sayang-sayangan, kalau chat udah kangen-kangenan, ternyata cuma jadi temen pas dia lagi kesepian"
anger,Ciee gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤
fear,"Setiap malam gw mimpi buruk, takut bgt kejadian nyata... aslii"
fear,"Rasanya kayak diawasi terus, serem bgt padahal sendiri di rumah 😱 sumpah"
love,"wkwk Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. kek gitu"
love,"Cuma ibu yang tahan sujud lamaaaaa sekali untuk mengudarakan doa. Cuma ibu yg setiap malam ga absen bangun malam untuk menggantungkan harapan padaNya. Cuma ibu yg rajin puasa menahan nafsu agar supaya Allah sayang. Manis ya. Sayang sekali, ibu"
happy,"yaallah Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 parah"
happy,"[USERNAME] Esbuah 5rb, bolak balik gojek 20rb, beli 4 es buah 20rb, jadi 40rb.. worth it lah asli drpd dikota yg jual ceban 1 aja udah jarang parah.. wkwkwk"
happy,anjir Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 banget
sadness,wkwk Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 aslii 😭
anger,"YAALLAH BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA!"
sadness,"Iya e mas aku cuma mentingin ngaji dan ngejar khataman dulu. Ndak bisa tiap waktu ngabarin halo kamu lagi ngapain. Kalo cuma jadi bahan biar kuat merasa tersakiti banget mah,mas ngapain dulu mau sama aku ehe"
sadness,"Wkwk gw pikir dia serius, ternyata cuma mainin perasaan. hancur. bgt"
sadness,Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 sih deh
sadness,ciee Gak tau kenapa akhir2 ini ngerasa kosong aja... please...
love,"ciee Lo emg bukan yang pertama, tapi gw harap lo jadi yang terakhir. please..."
sadness,"ciee Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. bgt"
sadness,dari kemarin mao ganti ava susah sekali sudah
anger,yaallah Gw cape-cape ngerjain eh malah dibilang gak ngapa-ngapain. Emosi jiwa. sumpah
fear,EH TAKUT KEHILANGAN ORANG2 YANG GW SAYANG. DUNIA INI GAK PASTI...
fear,"Gue takut bgt ngadepin hari senin, kerjaan numpuk abis cuti. banget dong"
anger,ORANG KAYAK LO TUH BENER2 GAK ADA OTAKNYA! BIKIN NAIK DARAH! PLISSS
love,NUNGGUIN CHAT DARI KAMU AJA UDAH BIKIN DEG-DEGAN HEHE 😚 LOHH
fear,"btw Setiap malam gw mimpi buruk, takut bgt kejadian nyata... yaaa"
happy,"Pulsa bapak kok cepat habis yaa? ""Gatau pak"" (sambil senyum dalam hati karna berhasil download banyak game di waptrick) #OldMoneyGakNgerasain"
fear,"[USERNAME] [USERNAME] Deg degan mana sama kalau tbtb mamah bilang ""kak tutup taperwer mamah kemana ya? Tadi bukan nya kamu yg abis pakai? "" jeng jengggg :((((((("
anger,Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! yaaa 😭
fear,"Setiap malam gw mimpi buruk, takut bgt kejadian nyata... banget"
fear,eh Takut kehilangan orang2 yang gw sayang. Dunia ini gak pasti... kek gitu plisss
happy,BARU AJA NONTON KONSER IDOLAA! WAHH SENENGNYA AMPE JINGKRAK JINGKRAK 🤩 KEK GITU DONG
anger,"BANGSHAAAT EMG LO! UDAH NGEREBUT, NYALAHIN PULA! LOHH PLISSS"
love,"Gak peduli sejauh apapun kamu, rasa ini tetep sama... 💌 kek gitu"
fear,yah Takut kehilangan orang2 yang gw sayang. Dunia ini gak pasti... banget deh
anger,"Tidak sepakat, dan anda menyesatkan orang lain. Tidak disemua tempat kita boleh melaksanakan sholat, salah satunya di bangunan yang didirikan untuk kekafiran (salah satunya gereja). Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk"
anger,eh Gila lo ya! Udah dibilang jangan trus diulangin lagi. Kesel bgt 😤 parah
happy,"Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 lohh sumpah"
fear,wkwk Takut kehilangan orang2 yang gw sayang. Dunia ini gak pasti... parah
happy,ciee Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 yaaa plisss
fear,"ANJIR LIAT BERITA KRIMINAL TIAP HARI, BIKIN PARNOAN KEMANA2. KEK GITU SUMPAH"
sadness,WKWK GAK TAU KENAPA AKHIR2 INI NGERASA KOSONG AJA... BANGET 😭
love,"YAALLAH LO EMG BUKAN YANG PERTAMA, TAPI GW HARAP LO JADI YANG TERAKHIR."
sadness,eh Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 sih
happy,"wkwk Liat sunset di pantai sambil minum es kelapa, hidup emg indah bgt 😎 parah"
happy,anjir Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 kek gitu
love,"Yaallah setiap detik mikirin kamu, pengen terus ada di sampingmu."
happy,Yah akhirnyaa lulus juga! perjuangan panjang bgt tapi worth it! 🎓 yaaa plisss
happy,yaallah Akhirnyaa lulus juga! Perjuangan panjang bgt tapi worth it! 🎓 anjirrr
happy,Anjir akhirnyaa lulus juga! perjuangan panjang bgt tapi worth it! 🎓 kek gitu
anger,[USERNAME] Kok aneh..... padahal honorer karyawan juga dan telah diatur oleh UU Ketenaga kerjaan tentang hak dan kewajiban nya. Kayaknya bapak yg satu ini belum pernah kelapangan deh memonitor sistem kerja di masing2 SKPD
sadness,yaallah Kangen rumah tapi harus kuat ngejar cita2. Sedihh 😢 parah
anger,wkwk Orang kayak lo tuh bener2 gak ada otaknya! Bikin naik darah! plisss
sadness,yah Kadang ngerasa sendirian di tengah keramaian... sepi bgt rasanya 😔 banget
fear,"Wkwk liat berita kriminal tiap hari, bikin parnoan kemana2. plisss"
fear,Mau jalan kaki diluar kosan tapi takut kena jambret karena mau nenteng kamera dan handphone.... alhasil gabut dalem kamar sendirian dengan laptop dan kue basah pemberian kamar tetangga. #baladaanakdaerah
sadness,"eh Air mata ini jatuh tanpa bisa ditahan, sakitnya tuh di hati bukan di badan. bgt 😭"
anger,Gila lo ya! udah dibilang jangan trus diulangin lagi. kesel bgt 😤 😭
